timestamp,percentSetting,PWM1,PWM2
1556649892.0691314,0,0,0
1556649892.1191533,0,0,0
1556649892.1698017,0,0,0
1556649892.220153,0,0,0
1556649892.2707539,0,0,0
1556649892.3209362,0,0,0
1556649892.3711548,0,0,0
1556649892.4213438,0,0,0
1556649892.471422,0,0,0
1556649892.5215974,0,0,0
1556649892.5717719,0,0,0
1556649892.6219404,0,0,0
1556649892.672119,0,0,0
1556649892.7224834,0,0,0
1556649892.7731366,0,0,0
1556649892.823411,0,0,0
1556649892.8736649,0,0,0
1556649892.9238477,0,0,0
1556649892.974082,0,0,0
1556649893.0242414,0,0,0
1556649893.0747085,0,0,0
1556649893.1248355,0,0,0
1556649893.1749,0,0,0
1556649893.2250714,0,0,0
1556649893.2752366,0,0,0
1556649893.3254352,0,0,0
1556649893.3764274,0,0,0
1556649893.4265983,0,0,0
1556649893.4767723,0,0,0
1556649893.5269136,0,0,0
1556649893.57775,0,0,0
1556649893.6279302,0,0,0
1556649893.678247,0,0,0
1556649893.7284248,0,0,0
1556649893.778579,0,0,0
1556649893.8296824,0,0,0
1556649893.8797042,0,0,0
1556649893.9307027,0,0,0
1556649893.9808888,0,0,0
1556649894.0311296,0,0,0
1556649894.0812843,0,0,0
1556649894.131335,0,0,0
1556649894.1818578,0,0,0
1556649894.2318618,0,0,0
1556649894.2822597,0,0,0
1556649894.3332474,0,0,0
1556649894.3837311,0,0,0
1556649894.433905,0,0,0
1556649894.4841118,0,0,0
1556649894.5348165,0,0,0
1556649894.584886,0,0,0
1556649894.6350646,0,0,0
1556649894.6858218,0,0,0
1556649894.7369285,0,0,0
1556649894.787531,0,0,0
1556649894.8377087,0,0,0
1556649894.888163,0,0,0
1556649894.938334,0,0,0
1556649894.988554,0,0,0
1556649895.0387154,0,0,0
1556649895.089293,0,0,0
1556649895.1395044,0,0,0
1556649895.1897216,0,0,0
1556649895.240112,0,0,0
1556649895.2901912,0,0,0
1556649895.3408513,0,0,0
1556649895.3912866,0,0,0
1556649895.4414499,0,0,0
1556649895.4916291,0,0,0
1556649895.5418615,0,0,0
1556649895.5918856,0,0,0
1556649895.6419873,0,0,0
1556649895.6921165,0,0,0
1556649895.742136,0,0,0
1556649895.7922997,0,0,0
1556649895.8430235,0,0,0
1556649895.8931677,0,0,0
1556649895.9435048,0,0,0
1556649895.9940856,0,0,0
1556649896.044245,0,0,0
1556649896.0942526,0,0,0
1556649896.1448817,0,0,0
1556649896.194937,0,0,0
1556649896.245567,0,0,0
1556649896.2965462,0,0,0
1556649896.3468134,0,0,0
1556649896.396982,0,0,0
1556649896.4474666,0,0,0
1556649896.497621,0,0,0
1556649896.548033,0,0,0
1556649896.5981228,0,0,0
1556649896.6488674,0,0,0
1556649896.6992936,0,0,0
1556649896.7501097,0,0,0
1556649896.8005898,0,0,0
1556649896.8507802,0,0,0
1556649896.9009569,0,0,0
1556649896.9509792,0,0,0
1556649897.0014536,0,0,0
1556649897.0516417,0,0,0
1556649897.101818,0,0,0
1556649897.1526668,0,0,0
1556649897.202821,0,0,0
1556649897.2530391,0,0,0
1556649897.3040676,0,0,0
1556649897.3550591,0,0,0
1556649897.4053378,0,0,0
1556649897.4556365,0,0,0
1556649897.5057495,0,0,0
1556649897.5558536,0,0,0
1556649897.6061325,0,0,0
1556649897.656143,0,0,0
1556649897.7066474,0,0,0
1556649897.756887,0,0,0
1556649897.8070357,0,0,0
1556649897.857211,0,0,0
1556649897.907391,0,0,0
1556649897.9574945,0,0,0
